dttm,value,anomalyScore,Likelihood Score,label
25/2/2014 6:45,5.626,0,0.0445655,0
25/2/2014 6:50,5.87,0,0.0445655,0
25/2/2014 6:55,6.042,0,0.0445655,0
25/2/2014 7:00,6.464,0,0.0445655,0
25/2/2014 7:05,6.036,0,0.0445655,0
25/2/2014 7:15,25.1033,1,0.999968,0
25/2/2014 7:20,17.186,1,0.999,0
25/2/2014 7:25,14.452,0.175,0.999,0
25/2/2014 7:30,13.968,0.125,0.999,0
25/2/2014 7:35,13.352,0.075,0.999,0
25/2/2014 7:40,15.6433,0.225,0.999,0
25/2/2014 7:45,14.4533,0.175,0.999,0
25/2/2014 7:50,15.42,0.25,0.999,0
25/2/2014 7:55,18.3333,0.375,0.999,0
25/2/2014 8:00,16.19,0.3,0.999,0
25/2/2014 8:05,15,0.2,0.999,0
25/2/2014 8:10,15.07,0.2,0.999,0
25/2/2014 8:15,15,0.2,0.999,0
25/2/2014 8:20,15.0867,0.2,0.999,0
25/2/2014 8:25,13.9333,0.15,0.999,0
25/2/2014 8:30,15.0033,0.15,0.999,0
25/2/2014 8:35,14.4533,0.15,0.999,0
25/2/2014 8:40,15,0.15,0.999,0
25/2/2014 8:45,13.9067,0.15,0.999,0
25/2/2014 8:50,15.1433,0.15,0.999,0
25/2/2014 8:55,14.4433,0.125,0.999,0
25/2/2014 9:00,15.5567,0.175,0.999,0
25/2/2014 9:05,14.4433,0.125,0.999,0
25/2/2014 9:10,15.55,0.175,0.999,0
25/2/2014 9:15,14.4733,0.125,0.999,0
25/2/2014 9:20,14.8833,0.125,0.999,0
25/2/2014 9:25,13.9333,0.1,0.999,0
25/2/2014 9:30,16.1133,0.15,0.999,0
25/2/2014 9:35,13.8867,0.125,0.999,0
25/2/2014 9:40,15,0.125,0.999,0
25/2/2014 9:45,13.27,0.1,0.999,0
25/2/2014 9:50,15.5567,0.125,0.999,0
25/2/2014 9:55,14.4433,0.125,0.999,0
25/2/2014 10:00,15,0.125,0.999,0
25/2/2014 10:05,13.8867,0.05,0.999,0
25/2/2014 10:10,15,0.05,0.999,0
25/2/2014 10:15,14.4733,0.1,0.999,0
25/2/2014 10:20,15.5567,0.075,0.999892,0
25/2/2014 10:25,14.4433,0.025,0.999313,0
25/2/2014 10:30,15,0.025,0.995339,0
25/2/2014 10:35,14.3567,0,0.982136,0
25/2/2014 10:40,15.5567,0.05,0.955435,0
25/2/2014 10:45,14.4433,0,0.864334,0
25/2/2014 10:50,15.5567,0.025,0.691462,0
25/2/2014 10:55,14.5,0.025,0.655422,0
25/2/2014 11:00,15,0.025,0.617911,0
25/2/2014 11:05,14.4733,0.025,0.460172,0
25/2/2014 11:10,16.11,0.075,0.460172,0
25/2/2014 11:15,14.4833,0.05,0.5,0
25/2/2014 11:20,12.925,0,0.460172,0
25/2/2014 11:25,13.9267,0,0.460172,0
25/2/2014 11:30,15.5567,0.075,0.5,0
25/2/2014 11:35,14.4433,0.05,0.617911,0
25/2/2014 11:40,15.0867,0.05,0.655422,0
25/2/2014 11:45,13.8867,0,0.57926,0
25/2/2014 11:50,14.4433,0.05,0.655422,0
25/2/2014 11:55,14.3333,0.025,0.655422,0
25/2/2014 12:00,15,0.05,0.57926,0
25/2/2014 12:05,14.4567,0.075,0.655422,0
25/2/2014 12:10,15.5567,0.05,0.725747,0
25/2/2014 12:15,13.9533,0.025,0.758036,0
25/2/2014 12:20,15,0.05,0.725747,0
25/2/2014 12:25,13.8867,0.075,0.758036,0
25/2/2014 12:30,15,0.05,0.758036,0
25/2/2014 12:35,13.89,0.05,0.841345,0
25/2/2014 12:40,14.8733,0.05,0.841345,0
25/2/2014 12:45,14.4433,0.05,0.864334,0
25/2/2014 12:50,15.6433,0.05,0.864334,0
25/2/2014 12:55,13.97,0.025,0.81594,0
25/2/2014 13:00,15.0567,0.05,0.81594,0
25/2/2014 13:05,13.8867,0.025,0.81594,0
25/2/2014 13:10,15,0.05,0.81594,0
25/2/2014 13:15,13.9333,0.05,0.758036,0
25/2/2014 13:20,15.5567,0.025,0.725747,0
25/2/2014 13:25,13.9333,0.025,0.691462,0
25/2/2014 13:30,15,0.025,0.655422,0
25/2/2014 13:35,13.9333,0.025,0.57926,0
25/2/2014 13:40,15.6133,0.025,0.539828,0
25/2/2014 13:45,11.6467,0.025,0.539828,0
25/2/2014 13:50,15.0867,0.025,0.5,0
25/2/2014 13:55,13.8867,0,0.460172,0
25/2/2014 14:00,15,0.05,0.460172,0
25/2/2014 14:05,14.4433,0.05,0.460172,0
25/2/2014 14:10,15,0.025,0.460172,0
25/2/2014 14:15,13.8867,0,0.42074,0
25/2/2014 14:20,14.9933,0,0.344578,0
25/2/2014 14:25,13.8867,0.025,0.344578,0
25/2/2014 14:30,15.5567,0,0.308538,0
25/2/2014 14:35,14.4433,0.025,0.308538,0
25/2/2014 14:40,15,0,0.274253,0
25/2/2014 14:45,13.8867,0,0.274253,0
25/2/2014 14:50,15.0567,0,0.18406,0
25/2/2014 14:55,13.8267,0,0.135666,0
25/2/2014 15:00,15.1267,0,0.11507,0
25/2/2014 15:05,13.9067,0,0.11507,0
25/2/2014 15:10,14.8733,0,0.11507,0
25/2/2014 15:15,12.22,0,0.0807567,0
25/2/2014 15:20,13.2333,0,0.0807567,0
25/2/2014 15:25,14.4733,0,0.0668072,0
25/2/2014 15:30,15,0,0.0668072,0
25/2/2014 15:35,13.9333,0,0.0668072,0
25/2/2014 15:40,14.4433,0,0.0668072,0
25/2/2014 15:45,14.3733,0,0.0668072,0
25/2/2014 15:50,15,0,0.0668072,0
25/2/2014 15:55,14.4433,0,0.0668072,0
25/2/2014 16:00,15.0033,0,0.0668072,0
25/2/2014 16:05,13.8267,0,0.0668072,0
25/2/2014 16:10,13.3367,0,0.0668072,0
25/2/2014 16:15,13.9267,0,0.0668072,0
25/2/2014 16:20,15.6333,0,0.0668072,0
25/2/2014 16:25,14.4833,0,0.0668072,0
25/2/2014 16:30,14.93,0.025,0.0807567,0
25/2/2014 16:35,14.4833,0.025,0.11507,0
25/2/2014 16:40,15,0.025,0.135666,0
25/2/2014 16:45,13.9067,0,0.135666,0
25/2/2014 16:50,15.5567,0.025,0.158655,0
25/2/2014 16:55,14.4433,0,0.158655,0
25/2/2014 17:00,15.0567,0,0.158655,0
25/2/2014 17:05,14.4433,0,0.158655,0
25/2/2014 17:10,15.5567,0.025,0.18406,0
25/2/2014 17:15,12.22,0,0.18406,0
25/2/2014 17:20,15.1433,0,0.158655,0
25/2/2014 17:25,14.5133,0,0.135666,0
25/2/2014 17:30,15.5567,0.05,0.158655,0
25/2/2014 17:35,14.4,0.025,0.18406,0
25/2/2014 17:40,15,0.025,0.18406,0
25/2/2014 17:45,14.5,0.025,0.241964,0
25/2/2014 17:50,15,0.05,0.308538,0
25/2/2014 17:55,14.4433,0.05,0.42074,0
25/2/2014 18:00,15.5567,0.05,0.460172,0
