dttm,value
2017-10-05 00:00:02,266
2017-10-05 00:00:32,262
2017-10-05 00:01:02,266
2017-10-05 00:01:32,261
2017-10-05 00:02:02,262
2017-10-05 00:02:32,261
2017-10-05 00:03:02,260
2017-10-05 00:03:32,261
2017-10-05 00:04:02,261
2017-10-05 00:04:32,260
2017-10-05 00:05:02,257
2017-10-05 00:05:32,255
2017-10-05 00:06:02,255
2017-10-05 00:06:33,254
2017-10-05 00:07:03,253
2017-10-05 00:07:33,253
2017-10-05 00:08:03,257
2017-10-05 00:08:33,258
2017-10-05 00:09:03,253
2017-10-05 00:09:33,253
2017-10-05 00:10:03,253
2017-10-05 00:10:33,254
2017-10-05 00:11:03,254
2017-10-05 00:11:33,254
2017-10-05 00:12:03,254
2017-10-05 00:12:33,254
2017-10-05 00:13:03,254
2017-10-05 00:13:33,254
2017-10-05 00:14:03,255
2017-10-05 00:14:33,254
2017-10-05 00:15:03,254
2017-10-05 00:15:33,255
2017-10-05 00:16:03,253
2017-10-05 00:16:33,253
2017-10-05 00:17:04,253
2017-10-05 00:17:34,253
2017-10-05 00:18:04,253
2017-10-05 00:18:34,253
2017-10-05 00:19:04,253
2017-10-05 00:19:34,253
2017-10-05 00:20:04,256
2017-10-05 00:20:34,253
2017-10-05 00:21:04,253
2017-10-05 00:21:34,254
2017-10-05 00:22:04,253
2017-10-05 00:22:34,253
2017-10-05 00:23:04,256
2017-10-05 00:23:34,258
2017-10-05 00:24:04,254
2017-10-05 00:24:34,254
2017-10-05 00:25:04,254
2017-10-05 00:25:34,254
2017-10-05 00:26:04,254
2017-10-05 00:26:34,254
2017-10-05 00:27:05,254
2017-10-05 00:27:35,254
2017-10-05 00:28:05,254
2017-10-05 00:28:35,254
2017-10-05 00:29:05,253
2017-10-05 00:29:35,253
2017-10-05 00:30:05,255
2017-10-05 00:30:35,255
2017-10-05 00:31:05,255
2017-10-05 00:31:35,255
2017-10-05 00:32:05,256
2017-10-05 00:32:35,258
2017-10-05 00:33:05,257
2017-10-05 00:33:35,258
2017-10-05 00:34:05,258
2017-10-05 00:34:35,258
